x,y
9.880795845396262989e-01,4.120980011541892918e-02
9.883426053645115728e-01,4.016053722260113507e-02
9.886056261893967356e-01,3.911127432978333401e-02
9.888686470142817875e-01,3.806201143696553990e-02
9.891316678391669504e-01,3.701274854414774579e-02
9.893946886640522242e-01,3.596348565132994474e-02
9.896577094889373871e-01,3.491422275851215062e-02
9.899207303138225500e-01,3.386495986569435651e-02
9.901837511387077129e-01,3.281569697287656240e-02
9.904467719635928757e-01,3.176643408005876829e-02
9.907097927884781496e-01,3.071717118724096723e-02
9.909728136133633125e-01,2.966790829442317312e-02
9.912358344382484754e-01,2.861864540160537901e-02
9.914988552631335272e-01,2.756938250878757796e-02
9.917618760880188011e-01,2.652011961596978384e-02
9.920248969129039640e-01,2.547085672315198973e-02
9.922879177377891269e-01,2.442159383033418868e-02
9.922879177377891269e-01,2.442159383033418868e-02
9.924453071717117547e-01,2.442159383033418868e-02
9.926026966056343825e-01,2.442159383033418868e-02
9.927600860395572324e-01,2.442159383033418868e-02
9.929174754734798602e-01,2.442159383033418868e-02
9.930748649074024881e-01,2.442159383033418868e-02
9.932322543413251159e-01,2.442159383033418868e-02
9.933896437752478548e-01,2.442159383033418868e-02
9.935470332091704826e-01,2.442159383033418868e-02
9.937044226430931104e-01,2.442159383033418868e-02
9.938618120770158493e-01,2.442159383033418868e-02
9.940192015109385881e-01,2.442159383033418868e-02
9.941765909448612160e-01,2.442159383033418868e-02
9.943339803787838438e-01,2.442159383033418868e-02
9.944913698127064716e-01,2.442159383033418868e-02
9.946487592466292105e-01,2.442159383033418868e-02
9.948061486805518383e-01,2.442159383033418868e-02
9.949635381144744661e-01,2.442159383033418868e-02
9.951209275483972050e-01,2.442159383033418868e-02
9.952783169823199438e-01,2.442159383033418868e-02
9.954357064162425717e-01,2.442159383033418868e-02
9.955930958501651995e-01,2.442159383033418868e-02
9.957504852840878273e-01,2.442159383033418868e-02
9.959078747180105662e-01,2.442159383033418868e-02
9.960652641519331940e-01,2.442159383033418868e-02
9.962226535858559329e-01,2.442159383033418868e-02
9.963800430197785607e-01,2.442159383033418868e-02
9.965374324537012996e-01,2.442159383033418868e-02
9.966948218876239274e-01,2.442159383033418868e-02
9.968522113215465552e-01,2.442159383033418868e-02
9.970096007554691830e-01,2.442159383033418868e-02
9.971669901893919219e-01,2.442159383033418868e-02
9.973243796233146607e-01,2.442159383033418868e-02
9.974817690572372886e-01,2.442159383033418868e-02
9.976391584911599164e-01,2.442159383033418868e-02
9.977965479250826553e-01,2.442159383033418868e-02
9.979539373590052831e-01,2.442159383033418868e-02
9.981113267929279109e-01,2.442159383033418868e-02
9.982687162268505388e-01,2.442159383033418868e-02
9.984261056607733886e-01,2.442159383033418868e-02
9.985834950946960165e-01,2.442159383033418868e-02
9.987408845286186443e-01,2.442159383033418868e-02
9.988982739625412721e-01,2.442159383033418868e-02
9.990556633964640110e-01,2.442159383033418868e-02
9.992130528303866388e-01,2.442159383033418868e-02
9.993704422643092666e-01,2.442159383033418868e-02
9.995278316982320055e-01,2.442159383033418868e-02
9.996852211321547443e-01,2.442159383033418868e-02
9.998426105660773722e-01,2.442159383033418868e-02
1.000000000000000000e+00,2.442159383033418868e-02
